Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
00302         5830   -11.8908  -30.3147   -11.8903  -30.3173    0.00647
00302         5975   -14.8916  -30.3406   -14.8905  -30.3428    0.00716
00302         6120   -17.9048  -30.3700   -17.9026  -30.3709    0.00890
00302         6265   -20.9310  -30.4018   -20.9268  -30.4008    0.01316
00302         6410   -23.9715  -30.4371   -23.9653  -30.4344    0.01825
00302         6555   -27.0329  -30.4819   -27.0274  -30.4810    0.01629
00302         6700   -30.1302  -30.5484   -30.1309  -30.5550    0.01885

 Average RMS spot radius =   0.00718
 Maximum RMS spot radius =   0.02706
 Minimum RMS spot radius =   0.00276
